Inscription_id,orc_mint_total,ord_amt,mint_id,block_time,block_height,txid,owner
3383338,6452700,10000,872,2023-05-03 17:05:39.000 UTC,788116,7a915b8ec303119e51c074aed5c0bdfaad38681bfe8da4b49c70b1b464fbbcc6,bc1pzd8mktg33hyvdn8csd8zdnl0hkgeumcj0ev27m428npgwvdhrt3s74tf7f
3383339,6462700,10000,873,2023-05-03 17:05:39.000 UTC,788116,bff693ee497f62909912aae4087f55e9857330020077bcff388fa8ba059997ce,bc1pzd8mktg33hyvdn8csd8zdnl0hkgeumcj0ev27m428npgwvdhrt3s74tf7f
3383340,6472700,10000,874,2023-05-03 17:05:39.000 UTC,788116,601c117c310848f9b08f92e0800bb196d5bb6c154498b3c3130902d20a15ded5,bc1pzd8mktg33hyvdn8csd8zdnl0hkgeumcj0ev27m428npgwvdhrt3s74tf7f
3383341,6482700,10000,875,2023-05-03 17:05:39.000 UTC,788116,7a97dd9c77899e9eccd64177d3bf162ecbfd36042fc19afd365c8095ce9dce0b,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383342,6492700,10000,876,2023-05-03 17:05:39.000 UTC,788116,7e83e663ca0eca914d77c0d0f937475fb808e3b8720723a52bc130d3c5281301,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383343,6502700,10000,877,2023-05-03 17:05:39.000 UTC,788116,c10e5a3611a7f9f24217eaed48deaa19677d33eadc1c680da9a059d9bc8b0703,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383344,6512700,10000,878,2023-05-03 17:05:39.000 UTC,788116,d9dc9a8c240e17b67fdb1a69206671529c5c487e3ef3b71cb40abab67c8efb09,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383345,6522700,10000,879,2023-05-03 17:05:39.000 UTC,788116,982ee96d20cb67add1a12474d9b973c2902c3adb585d645cf0cd2493bd3b5e0a,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383346,6532700,10000,880,2023-05-03 17:05:39.000 UTC,788116,dfb28f6c7eeda961b4891cb0babfe077af0f4fb4e7977514275dd2302995852e,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383347,6542700,10000,881,2023-05-03 17:05:39.000 UTC,788116,62b9eafb2c4758c60d7e837aef5f7b2ad0df36465e3adfb139bdebb3bece2d55,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383348,6552700,10000,882,2023-05-03 17:05:39.000 UTC,788116,c2e8d11d23cc4fbf997f91cbdace31d499c71ed52c4220e7101514d52509ba58,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383349,6562700,10000,883,2023-05-03 17:05:39.000 UTC,788116,84c12bccf81034f1c67ad1e93e546d6336316aa3c4f98f211336a981e99dc25d,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383350,6572700,10000,884,2023-05-03 17:05:39.000 UTC,788116,fe6c2387629161e4b4c925e4f21ce3ddbcbc68f9d7a9d984f7d5a2131cc2c563,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383351,6582700,10000,885,2023-05-03 17:05:39.000 UTC,788116,744cbeb9d356559a748bb883e062d0befab8bce245b68017b34beccae173c67a,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383352,6592700,10000,886,2023-05-03 17:05:39.000 UTC,788116,cead674566b6448520ca8d2d2e3d600e7c0a1b58b6e6cb49849ab80e15d5937d,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383353,6602700,10000,887,2023-05-03 17:05:39.000 UTC,788116,ec050985fd44d531dcde62306a2f892edcc5d45795fa85c67e052dc8a6d8b185,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383354,6612700,10000,888,2023-05-03 17:05:39.000 UTC,788116,d1bf8f1f3a9478a04b10f91428050ff955195ce07a05039efd1ba6ab9300bc92,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383355,6622700,10000,889,2023-05-03 17:05:39.000 UTC,788116,25921bc02d2aff020c0b180b48099cf9080ed5b8511069d6c1ff318d8eeca5a0,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
3383356,6632700,10000,890,2023-05-03 17:05:39.000 UTC,788116,48597bb0b20fb29ed5738c919380516b6a64c981a81d6f78d4ae3773cccc86ab,bc1prgfjxv7zxryv583yg9lms29804gudc5dv3evw3uwc9uqp9pec20q9dch09
